Comunidad Autónoma y Provincia	Tipo de indicador	años	Total
Sevilla	TRABAJADORES PARTICIPANTES (miles)	1991	100,1
Sevilla	JORNADAS NO TRABAJADAS (miles)	2001	6,5
Sevilla	JORNADAS NO TRABAJADAS (miles)	2000	16,3
Sevilla	JORNADAS NO TRABAJADAS (miles)	1999	41,4
Sevilla	JORNADAS NO TRABAJADAS (miles)	1998	84,2
Sevilla	JORNADAS NO TRABAJADAS (miles)	1997	216,4
Sevilla	JORNADAS NO TRABAJADAS (miles)	1996	28,0
Sevilla	JORNADAS NO TRABAJADAS (miles)	1995	77,5
Sevilla	JORNADAS NO TRABAJADAS (miles)	1994	42,0
Sevilla	JORNADAS NO TRABAJADAS (miles)	1993	48,7
Sevilla	JORNADAS NO TRABAJADAS (miles)	1992	83,5
Sevilla	JORNADAS NO TRABAJADAS (miles)	1991	304,9
Aragón	HUELGAS DESARROLLADAS	2001	10,0
Aragón	HUELGAS DESARROLLADAS	2000	22,0
Aragón	HUELGAS DESARROLLADAS	1999	10,0
Aragón	HUELGAS DESARROLLADAS	1998	12,0
Aragón	HUELGAS DESARROLLADAS	1997	7,0
Aragón	HUELGAS DESARROLLADAS	1996	21,0
Aragón	HUELGAS DESARROLLADAS	1995	14,0
Aragón	HUELGAS DESARROLLADAS	1994	26,0
Aragón	HUELGAS DESARROLLADAS	1993	33,0
Aragón	HUELGAS DESARROLLADAS	1992	34,0
Aragón	HUELGAS DESARROLLADAS	1991	37,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	2001	24,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	2000	4.988,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1999	10,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1998	12,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1997	7,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1996	21,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1995	14,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1994	161,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1993	3.318,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1992	49,0
Aragón	CENTROS DE TRABAJO CONVOCADOS	1991	548,0
Aragón	TRABAJADORES PARTICIPANTES (miles)	2001	2,1
Aragón	TRABAJADORES PARTICIPANTES (miles)	2000	36,6
Aragón	TRABAJADORES PARTICIPANTES (miles)	1999	0,6
Aragón	TRABAJADORES PARTICIPANTES (miles)	1998	1,9
Aragón	TRABAJADORES PARTICIPANTES (miles)	1997	0,4
Aragón	TRABAJADORES PARTICIPANTES (miles)	1996	2,9
Aragón	TRABAJADORES PARTICIPANTES (miles)	1995	1,2
Aragón	TRABAJADORES PARTICIPANTES (miles)	1994	2,7
Aragón	TRABAJADORES PARTICIPANTES (miles)	1993	10,3
Aragón	TRABAJADORES PARTICIPANTES (miles)	1992	13,3
Aragón	TRABAJADORES PARTICIPANTES (miles)	1991	6,6
Aragón	JORNADAS NO TRABAJADAS (miles)	2001	2,0
Aragón	JORNADAS NO TRABAJADAS (miles)	2000	84,5
Aragón	JORNADAS NO TRABAJADAS (miles)	1999	8,2
Aragón	JORNADAS NO TRABAJADAS (miles)	1998	3,3
Aragón	JORNADAS NO TRABAJADAS (miles)	1997	3,0
Aragón	JORNADAS NO TRABAJADAS (miles)	1996	8,6
Aragón	JORNADAS NO TRABAJADAS (miles)	1995	1,9
Aragón	JORNADAS NO TRABAJADAS (miles)	1994	3,7
Aragón	JORNADAS NO TRABAJADAS (miles)	1993	24,4
Aragón	JORNADAS NO TRABAJADAS (miles)	1992	28,9
Aragón	JORNADAS NO TRABAJADAS (miles)	1991	26,4
Huesca	HUELGAS DESARROLLADAS	2001	3,0
Huesca	HUELGAS DESARROLLADAS	2000	5,0
Huesca	HUELGAS DESARROLLADAS	1999	2,0
Huesca	HUELGAS DESARROLLADAS	1998	..
Huesca	HUELGAS DESARROLLADAS	1997	1,0
Huesca	HUELGAS DESARROLLADAS	1996	5,0
Huesca	HUELGAS DESARROLLADAS	1995	1,0
Huesca	HUELGAS DESARROLLADAS	1994	3,0
Huesca	HUELGAS DESARROLLADAS	1993	3,0
Huesca	HUELGAS DESARROLLADAS	1992	6,0
Huesca	HUELGAS DESARROLLADAS	1991	6,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	2001	4,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	2000	135,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1999	2,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1998	..
Huesca	CENTROS DE TRABAJO CONVOCADOS	1997	1,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1996	5,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1995	1,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1994	5,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1993	3,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1992	17,0
Huesca	CENTROS DE TRABAJO CONVOCADOS	1991	6,0
Huesca	TRABAJADORES PARTICIPANTES (miles)	2001	0,1
Huesca	TRABAJADORES PARTICIPANTES (miles)	2000	1,0
Huesca	TRABAJADORES PARTICIPANTES (miles)	1999	0,1
Huesca	TRABAJADORES PARTICIPANTES (miles)	1998	..
Huesca	TRABAJADORES PARTICIPANTES (miles)	1997	..
Huesca	TRABAJADORES PARTICIPANTES (miles)	1996	0,6
Huesca	TRABAJADORES PARTICIPANTES (miles)	1995	0,2
Huesca	TRABAJADORES PARTICIPANTES (miles)	1994	0,2
Huesca	TRABAJADORES PARTICIPANTES (miles)	1993	0,1
Huesca	TRABAJADORES PARTICIPANTES (miles)	1992	1,2
Huesca	TRABAJADORES PARTICIPANTES (miles)	1991	0,2
Huesca	JORNADAS NO TRABAJADAS (miles)	2001	0,1
Huesca	JORNADAS NO TRABAJADAS (miles)	2000	12,5
Huesca	JORNADAS NO TRABAJADAS (miles)	1999	1,2
Huesca	JORNADAS NO TRABAJADAS (miles)	1998	..
Huesca	JORNADAS NO TRABAJADAS (miles)	1997	0,1
Huesca	JORNADAS NO TRABAJADAS (miles)	1996	0,8
Huesca	JORNADAS NO TRABAJADAS (miles)	1995	0,2
Huesca	JORNADAS NO TRABAJADAS (miles)	1994	..
Huesca	JORNADAS NO TRABAJADAS (miles)	1993	0,9
Huesca	JORNADAS NO TRABAJADAS (miles)	1992	2,4
Huesca	JORNADAS NO TRABAJADAS (miles)	1991	0,2
Teruel	HUELGAS DESARROLLADAS	2001	..
Teruel	HUELGAS DESARROLLADAS	2000	2,0
Teruel	HUELGAS DESARROLLADAS	1999	2,0
Teruel	HUELGAS DESARROLLADAS	1998	..
Teruel	HUELGAS DESARROLLADAS	1997	..
Teruel	HUELGAS DESARROLLADAS	1996	5,0
Teruel	HUELGAS DESARROLLADAS	1995	2,0
Teruel	HUELGAS DESARROLLADAS	1994	3,0
Teruel	HUELGAS DESARROLLADAS	1993	3,0
Teruel	HUELGAS DESARROLLADAS	1992	4,0
Teruel	HUELGAS DESARROLLADAS	1991	3,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	2001	..
Teruel	CENTROS DE TRABAJO CONVOCADOS	2000	4.760,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1999	2,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1998	..
Teruel	CENTROS DE TRABAJO CONVOCADOS	1997	..
Teruel	CENTROS DE TRABAJO CONVOCADOS	1996	5,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1995	2,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1994	135,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1993	282,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1992	4,0
Teruel	CENTROS DE TRABAJO CONVOCADOS	1991	12,0
Teruel	TRABAJADORES PARTICIPANTES (miles)	2001	..
Teruel	TRABAJADORES PARTICIPANTES (miles)	2000	29,3
Teruel	TRABAJADORES PARTICIPANTES (miles)	1999	..
Teruel	TRABAJADORES PARTICIPANTES (miles)	1998	..
Teruel	TRABAJADORES PARTICIPANTES (miles)	1997	..
Teruel	TRABAJADORES PARTICIPANTES (miles)	1996	1,1
Teruel	TRABAJADORES PARTICIPANTES (miles)	1995	0,3
Teruel	TRABAJADORES PARTICIPANTES (miles)	1994	0,6
Teruel	TRABAJADORES PARTICIPANTES (miles)	1993	0,4
Teruel	TRABAJADORES PARTICIPANTES (miles)	1992	0,2
Teruel	TRABAJADORES PARTICIPANTES (miles)	1991	1,3
Teruel	JORNADAS NO TRABAJADAS (miles)	2001	..
Teruel	JORNADAS NO TRABAJADAS (miles)	2000	29,5
Teruel	JORNADAS NO TRABAJADAS (miles)	1999	0,6
Teruel	JORNADAS NO TRABAJADAS (miles)	1998	..
Teruel	JORNADAS NO TRABAJADAS (miles)	1997	..
Teruel	JORNADAS NO TRABAJADAS (miles)	1996	3,6
Teruel	JORNADAS NO TRABAJADAS (miles)	1995	0,3
Teruel	JORNADAS NO TRABAJADAS (miles)	1994	0,2
Teruel	JORNADAS NO TRABAJADAS (miles)	1993	0,6
Teruel	JORNADAS NO TRABAJADAS (miles)	1992	1,6
Teruel	JORNADAS NO TRABAJADAS (miles)	1991	0,1
Zaragoza	HUELGAS DESARROLLADAS	2001	6,0
Zaragoza	HUELGAS DESARROLLADAS	2000	15,0
Zaragoza	HUELGAS DESARROLLADAS	1999	6,0
Zaragoza	HUELGAS DESARROLLADAS	1998	12,0
Zaragoza	HUELGAS DESARROLLADAS	1997	6,0
Zaragoza	HUELGAS DESARROLLADAS	1996	11,0
Zaragoza	HUELGAS DESARROLLADAS	1995	11,0
Zaragoza	HUELGAS DESARROLLADAS	1994	20,0
Zaragoza	HUELGAS DESARROLLADAS	1993	27,0
Zaragoza	HUELGAS DESARROLLADAS	1992	24,0
Zaragoza	HUELGAS DESARROLLADAS	1991	28,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	2001	7,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	2000	93,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1999	6,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1998	12,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1997	6,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1996	11,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1995	11,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1994	21,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1993	3.033,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1992	28,0
Zaragoza	CENTROS DE TRABAJO CONVOCADOS	1991	530,0
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	2001	1,7
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	2000	6,3
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1999	0,4
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1998	1,9
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1997	0,4
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1996	1,3
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1995	0,7
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1994	1,8
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1993	9,8
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1992	11,9
Zaragoza	TRABAJADORES PARTICIPANTES (miles)	1991	5,1
Zaragoza	JORNADAS NO TRABAJADAS (miles)	2001	1,7
Zaragoza	JORNADAS NO TRABAJADAS (miles)	2000	42,4
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1999	6,5
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1998	3,3
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1997	3,0
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1996	4,2
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1995	1,4
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1994	3,5
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1993	22,9
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1992	24,9
Zaragoza	JORNADAS NO TRABAJADAS (miles)	1991	26,1
Asturias, Ppado de	HUELGAS DESARROLLADAS	2000	56,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1999	61,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1998	53,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1997	101,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1996	69,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1995	73,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1994	72,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1993	81,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1992	133,0
Asturias, Ppado de	HUELGAS DESARROLLADAS	1991	196,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	2001	982,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	2000	512,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1999	1.723,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1998	493,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1997	2.251,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1996	669,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1995	1.621,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1994	120,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1993	8.152,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1992	3.222,0
Asturias, Ppado de	CENTROS DE TRABAJO CONVOCADOS	1991	38.093,0
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	2001	13,6
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	2000	16,2
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1999	24,7
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1998	36,5
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1997	38,6
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1996	29,0
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1995	79,2
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1994	15,9
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1993	107,1
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1992	265,6
Asturias, Ppado de	TRABAJADORES PARTICIPANTES (miles)	1991	537,2
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	2001	27,1
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	2000	39,0
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1999	44,6
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1998	165,3
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1997	56,7
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1996	44,3
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1995	154,6
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1994	40,4
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1993	151,6
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1992	640,4
Asturias, Ppado de	JORNADAS NO TRABAJADAS (miles)	1991	644,4
Balears,Illes	HUELGAS DESARROLLADAS	2001	5,0
Balears,Illes	HUELGAS DESARROLLADAS	2000	3,0
Balears,Illes	HUELGAS DESARROLLADAS	1999	6,0
Balears,Illes	HUELGAS DESARROLLADAS	1998	9,0
Balears,Illes	HUELGAS DESARROLLADAS	1997	4,0
Balears,Illes	HUELGAS DESARROLLADAS	1996	..
Balears,Illes	HUELGAS DESARROLLADAS	1995	3,0
Balears,Illes	HUELGAS DESARROLLADAS	1994	5,0
Balears,Illes	HUELGAS DESARROLLADAS	1993	9,0
Balears,Illes	HUELGAS DESARROLLADAS	1992	..
Balears,Illes	HUELGAS DESARROLLADAS	1991	3,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	2001	125,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	2000	3,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1999	5,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1998	2.525,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1997	25,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1996	..
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1995	3,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1994	1.668,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1993	9,0
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1992	..
Balears,Illes	CENTROS DE TRABAJO CONVOCADOS	1991	14,0
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	2001	5,5
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	2000	0,1
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1999	1,2
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1998	1,0
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1997	1,3
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1996	..
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1995	0,3
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1994	2,7
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1993	0,2
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1992	..
Balears,Illes	TRABAJADORES PARTICIPANTES (miles)	1991	1,2
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	2001	9,8
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	2000	0,5
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1999	..
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1998	5,4
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1997	1,7
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1996	..
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1995	..
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1994	5,1
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1993	0,5
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1992	..
Balears,Illes	JORNADAS NO TRABAJADAS (miles)	1991	2,9
Canarias	HUELGAS DESARROLLADAS	2001	5,0
Canarias	HUELGAS DESARROLLADAS	2000	19,0
Canarias	HUELGAS DESARROLLADAS	1999	5,0
Canarias	HUELGAS DESARROLLADAS	1998	19,0
Canarias	HUELGAS DESARROLLADAS	1997	20,0
Canarias	HUELGAS DESARROLLADAS	1996	32,0
Canarias	HUELGAS DESARROLLADAS	1995	24,0
Canarias	HUELGAS DESARROLLADAS	1994	22,0
Canarias	HUELGAS DESARROLLADAS	1993	22,0
Canarias	HUELGAS DESARROLLADAS	1992	27,0
Canarias	HUELGAS DESARROLLADAS	1991	33,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	2001	5,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	2000	166,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1999	51,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1998	146,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1997	40,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1996	658,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1995	329,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1994	1.680,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1993	151,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1992	7.327,0
Canarias	CENTROS DE TRABAJO CONVOCADOS	1991	124,0
Canarias	TRABAJADORES PARTICIPANTES (miles)	2001	0,4
Canarias	TRABAJADORES PARTICIPANTES (miles)	2000	3,9
Canarias	TRABAJADORES PARTICIPANTES (miles)	1999	1,3
Canarias	TRABAJADORES PARTICIPANTES (miles)	1998	8,5
Canarias	TRABAJADORES PARTICIPANTES (miles)	1997	0,8
Canarias	TRABAJADORES PARTICIPANTES (miles)	1996	6,5
Canarias	TRABAJADORES PARTICIPANTES (miles)	1995	4,5
Canarias	TRABAJADORES PARTICIPANTES (miles)	1994	3,0
Canarias	TRABAJADORES PARTICIPANTES (miles)	1993	4,1
Canarias	TRABAJADORES PARTICIPANTES (miles)	1992	26,2
Canarias	TRABAJADORES PARTICIPANTES (miles)	1991	4,7
Canarias	JORNADAS NO TRABAJADAS (miles)	2001	5,5
Canarias	JORNADAS NO TRABAJADAS (miles)	2000	8,7
Canarias	JORNADAS NO TRABAJADAS (miles)	1999	4,3
Canarias	JORNADAS NO TRABAJADAS (miles)	1998	16,6
Canarias	JORNADAS NO TRABAJADAS (miles)	1997	2,9
Canarias	JORNADAS NO TRABAJADAS (miles)	1996	15,5
Canarias	JORNADAS NO TRABAJADAS (miles)	1995	10,6
Canarias	JORNADAS NO TRABAJADAS (miles)	1994	5,3
Canarias	JORNADAS NO TRABAJADAS (miles)	1993	8,5
Canarias	JORNADAS NO TRABAJADAS (miles)	1992	56,4
Canarias	JORNADAS NO TRABAJADAS (miles)	1991	19,6
Las Palmas	HUELGAS DESARROLLADAS	2001	5,0
Las Palmas	HUELGAS DESARROLLADAS	2000	16,0
Las Palmas	HUELGAS DESARROLLADAS	1999	3,0
Las Palmas	HUELGAS DESARROLLADAS	1998	3,0
Las Palmas	HUELGAS DESARROLLADAS	1997	9,0
Las Palmas	HUELGAS DESARROLLADAS	1996	14,0
Las Palmas	HUELGAS DESARROLLADAS	1995	11,0
Las Palmas	HUELGAS DESARROLLADAS	1994	15,0
Las Palmas	HUELGAS DESARROLLADAS	1993	13,0
Las Palmas	HUELGAS DESARROLLADAS	1992	20,0
Las Palmas	HUELGAS DESARROLLADAS	1991	25,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	2001	5,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	2000	163,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1999	37,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1998	3,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1997	9,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1996	202,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1995	11,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1994	1.669,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1993	73,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1992	21,0
Las Palmas	CENTROS DE TRABAJO CONVOCADOS	1991	69,0
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	2001	0,4
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	2000	3,5
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1999	0,8
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1998	0,5
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1997	0,6
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1996	1,3
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1995	1,4
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1994	2,0
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1993	3,2
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1992	0,8
Las Palmas	TRABAJADORES PARTICIPANTES (miles)	1991	3,1
Las Palmas	JORNADAS NO TRABAJADAS (miles)	2001	5,5
Las Palmas	JORNADAS NO TRABAJADAS (miles)	2000	8,6
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1999	3,2
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1998	2,0
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1997	1,9
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1996	5,2
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1995	6,5
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1994	4,0
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1993	7,5
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1992	4,7
Las Palmas	JORNADAS NO TRABAJADAS (miles)	1991	10,4
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	2001	..
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	2000	3,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1999	2,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1998	16,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1997	11,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1996	18,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1995	13,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1994	7,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1993	9,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1992	7,0
Santa Cruz de Tenerife	HUELGAS DESARROLLADAS	1991	8,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	2001	..
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	2000	3,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1999	14,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1998	143,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1997	31,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1996	456,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1995	318,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1994	11,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1993	78,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1992	7.306,0
Santa Cruz de Tenerife	CENTROS DE TRABAJO CONVOCADOS	1991	55,0
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	2001	..
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	2000	0,3
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1999	0,5
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1998	7,9
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1997	0,2
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1996	5,1
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1995	3,2
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1994	1,0
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1993	0,9
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1992	25,4
Santa Cruz de Tenerife	TRABAJADORES PARTICIPANTES (miles)	1991	1,5
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	2001	..
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	2000	0,1
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	1999	1,1
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	1998	14,6
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	1997	1,0
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	1996	10,3
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	1995	4,0
Santa Cruz de Tenerife	JORNADAS NO TRABAJADAS (miles)	1994	1,3
