Tipo de jornada	Comunidades y Ciudades Autonómas	Decil	Periodo	Total
Jornada a tiempo completo	01 Andalucía	8	2009	2.241,63
Jornada a tiempo completo	01 Andalucía	8	2008	2.153,75
Jornada a tiempo completo	01 Andalucía	8	2007	2.046,94
Jornada a tiempo completo	01 Andalucía	8	2006	1.964,52
Jornada a tiempo completo	01 Andalucía	9	2022	3.165,63
Jornada a tiempo completo	01 Andalucía	9	2021	3.131,88
Jornada a tiempo completo	01 Andalucía	9	2020	3.157,79
Jornada a tiempo completo	01 Andalucía	9	2019	3.020,44
Jornada a tiempo completo	01 Andalucía	9	2018	2.989,92
Jornada a tiempo completo	01 Andalucía	9	2017	2.967,17
Jornada a tiempo completo	01 Andalucía	9	2016	2.908,65
Jornada a tiempo completo	01 Andalucía	9	2015	2.956,98
Jornada a tiempo completo	01 Andalucía	9	2014	2.936,59
Jornada a tiempo completo	01 Andalucía	9	2013	2.908,54
Jornada a tiempo completo	01 Andalucía	9	2012	2.862,34
Jornada a tiempo completo	01 Andalucía	9	2011	2.859,92
Jornada a tiempo completo	01 Andalucía	9	2010	2.850,54
Jornada a tiempo completo	01 Andalucía	9	2009	2.837,2
Jornada a tiempo completo	01 Andalucía	9	2008	2.699,58
Jornada a tiempo completo	01 Andalucía	9	2007	2.562,5
Jornada a tiempo completo	01 Andalucía	9	2006	2.449,79
Jornada a tiempo completo	01 Andalucía	10	2022	4.834,91
Jornada a tiempo completo	01 Andalucía	10	2021	4.924,7
Jornada a tiempo completo	01 Andalucía	10	2020	4.833,28
Jornada a tiempo completo	01 Andalucía	10	2019	4.479,56
Jornada a tiempo completo	01 Andalucía	10	2018	4.567,14
Jornada a tiempo completo	01 Andalucía	10	2017	4.467,06
Jornada a tiempo completo	01 Andalucía	10	2016	4.381,21
Jornada a tiempo completo	01 Andalucía	10	2015	4.448,36
Jornada a tiempo completo	01 Andalucía	10	2014	4.506,45
Jornada a tiempo completo	01 Andalucía	10	2013	4.460,35
Jornada a tiempo completo	01 Andalucía	10	2012	4.345,4
Jornada a tiempo completo	01 Andalucía	10	2011	4.279,44
Jornada a tiempo completo	01 Andalucía	10	2010	4.235,27
Jornada a tiempo completo	01 Andalucía	10	2009	4.213,04
Jornada a tiempo completo	01 Andalucía	10	2008	4.096,56
Jornada a tiempo completo	01 Andalucía	10	2007	3.580,99
Jornada a tiempo completo	01 Andalucía	10	2006	3.423
Jornada a tiempo completo	02 Aragón	Total decil	2022	2.264,44
Jornada a tiempo completo	02 Aragón	Total decil	2021	2.221,33
Jornada a tiempo completo	02 Aragón	Total decil	2020	2.158,63
Jornada a tiempo completo	02 Aragón	Total decil	2019	2.162,35
Jornada a tiempo completo	02 Aragón	Total decil	2018	2.197,67
Jornada a tiempo completo	02 Aragón	Total decil	2017	2.138,61
Jornada a tiempo completo	02 Aragón	Total decil	2016	2.015,8
Jornada a tiempo completo	02 Aragón	Total decil	2015	2.140,41
Jornada a tiempo completo	02 Aragón	Total decil	2014	2.114,97
Jornada a tiempo completo	02 Aragón	Total decil	2013	2.121,66
Jornada a tiempo completo	02 Aragón	Total decil	2012	2.096,72
Jornada a tiempo completo	02 Aragón	Total decil	2011	2.084,88
Jornada a tiempo completo	02 Aragón	Total decil	2010	2.099,5
Jornada a tiempo completo	02 Aragón	Total decil	2009	2.121,26
Jornada a tiempo completo	02 Aragón	Total decil	2008	1.959,98
Jornada a tiempo completo	02 Aragón	Total decil	2007	1.867,64
Jornada a tiempo completo	02 Aragón	Total decil	2006	1.771,94
Jornada a tiempo completo	02 Aragón	1	2022	871,63
Jornada a tiempo completo	02 Aragón	1	2021	802,58
Jornada a tiempo completo	02 Aragón	1	2020	773,62
Jornada a tiempo completo	02 Aragón	1	2019	753,94
Jornada a tiempo completo	02 Aragón	1	2018	638,54
Jornada a tiempo completo	02 Aragón	1	2017	643,59
Jornada a tiempo completo	02 Aragón	1	2016	660,71
Jornada a tiempo completo	02 Aragón	1	2015	583,41
Jornada a tiempo completo	02 Aragón	1	2014	604,58
Jornada a tiempo completo	02 Aragón	1	2013	552,15
Jornada a tiempo completo	02 Aragón	1	2012	601,56
Jornada a tiempo completo	02 Aragón	1	2011	609,71
Jornada a tiempo completo	02 Aragón	1	2010	665,07
Jornada a tiempo completo	02 Aragón	1	2009	674,34
Jornada a tiempo completo	02 Aragón	1	2008	634,37
Jornada a tiempo completo	02 Aragón	1	2007	586,02
Jornada a tiempo completo	02 Aragón	1	2006	591,61
Jornada a tiempo completo	02 Aragón	2	2022	1.163,13
Jornada a tiempo completo	02 Aragón	2	2021	1.038,73
Jornada a tiempo completo	02 Aragón	2	2020	1.044,93
Jornada a tiempo completo	02 Aragón	2	2019	1.041,25
Jornada a tiempo completo	02 Aragón	2	2018	909,06
Jornada a tiempo completo	02 Aragón	2	2017	874,58
Jornada a tiempo completo	02 Aragón	2	2016	866,35
Jornada a tiempo completo	02 Aragón	2	2015	853,5
Jornada a tiempo completo	02 Aragón	2	2014	863,07
Jornada a tiempo completo	02 Aragón	2	2013	844,93
Jornada a tiempo completo	02 Aragón	2	2012	859,64
Jornada a tiempo completo	02 Aragón	2	2011	917,44
Jornada a tiempo completo	02 Aragón	2	2010	907
Jornada a tiempo completo	02 Aragón	2	2009	891,27
Jornada a tiempo completo	02 Aragón	2	2008	902,89
Jornada a tiempo completo	02 Aragón	2	2007	846,31
Jornada a tiempo completo	02 Aragón	2	2006	819,12
Jornada a tiempo completo	02 Aragón	3	2022	1.351,76
Jornada a tiempo completo	02 Aragón	3	2021	1.268,76
Jornada a tiempo completo	02 Aragón	3	2020	1.244,48
Jornada a tiempo completo	02 Aragón	3	2019	1.221,85
Jornada a tiempo completo	02 Aragón	3	2018	1.162,08
Jornada a tiempo completo	02 Aragón	3	2017	1.127,76
Jornada a tiempo completo	02 Aragón	3	2016	1.132,34
Jornada a tiempo completo	02 Aragón	3	2015	1.107,33
Jornada a tiempo completo	02 Aragón	3	2014	1.106,95
Jornada a tiempo completo	02 Aragón	3	2013	1.108,99
Jornada a tiempo completo	02 Aragón	3	2012	1.119,71
Jornada a tiempo completo	02 Aragón	3	2011	1.134,61
Jornada a tiempo completo	02 Aragón	3	2010	1.148,32
Jornada a tiempo completo	02 Aragón	3	2009	1.114,63
Jornada a tiempo completo	02 Aragón	3	2008	1.116,17
Jornada a tiempo completo	02 Aragón	3	2007	1.062,68
Jornada a tiempo completo	02 Aragón	3	2006	1.005,22
Jornada a tiempo completo	02 Aragón	4	2022	1.528,35
Jornada a tiempo completo	02 Aragón	4	2021	1.466,3
Jornada a tiempo completo	02 Aragón	4	2020	1.422,84
Jornada a tiempo completo	02 Aragón	4	2019	1.427,27
Jornada a tiempo completo	02 Aragón	4	2018	1.362,49
Jornada a tiempo completo	02 Aragón	4	2017	1.329,18
Jornada a tiempo completo	02 Aragón	4	2016	1.324,67
Jornada a tiempo completo	02 Aragón	4	2015	1.305,81
Jornada a tiempo completo	02 Aragón	4	2014	1.324,69
Jornada a tiempo completo	02 Aragón	4	2013	1.315,48
Jornada a tiempo completo	02 Aragón	4	2012	1.322,88
Jornada a tiempo completo	02 Aragón	4	2011	1.304,97
Jornada a tiempo completo	02 Aragón	4	2010	1.310,43
Jornada a tiempo completo	02 Aragón	4	2009	1.287,86
Jornada a tiempo completo	02 Aragón	4	2008	1.265,81
Jornada a tiempo completo	02 Aragón	4	2007	1.206,19
Jornada a tiempo completo	02 Aragón	4	2006	1.147,27
Jornada a tiempo completo	02 Aragón	5	2022	1.718,22
Jornada a tiempo completo	02 Aragón	5	2021	1.649,63
Jornada a tiempo completo	02 Aragón	5	2020	1.607,71
Jornada a tiempo completo	02 Aragón	5	2019	1.594,26
Jornada a tiempo completo	02 Aragón	5	2018	1.535,32
Jornada a tiempo completo	02 Aragón	5	2017	1.496,93
Jornada a tiempo completo	02 Aragón	5	2016	1.501,61
Jornada a tiempo completo	02 Aragón	5	2015	1.496,16
Jornada a tiempo completo	02 Aragón	5	2014	1.510,98
Jornada a tiempo completo	02 Aragón	5	2013	1.499,91
Jornada a tiempo completo	02 Aragón	5	2012	1.496,84
Jornada a tiempo completo	02 Aragón	5	2011	1.474,66
Jornada a tiempo completo	02 Aragón	5	2010	1.485,56
Jornada a tiempo completo	02 Aragón	5	2009	1.444,45
Jornada a tiempo completo	02 Aragón	5	2008	1.404,74
Jornada a tiempo completo	02 Aragón	5	2007	1.342,06
Jornada a tiempo completo	02 Aragón	5	2006	1.274,26
Jornada a tiempo completo	02 Aragón	6	2022	1.919,6
Jornada a tiempo completo	02 Aragón	6	2021	1.867,12
Jornada a tiempo completo	02 Aragón	6	2020	1.823,63
Jornada a tiempo completo	02 Aragón	6	2019	1.788,57
Jornada a tiempo completo	02 Aragón	6	2018	1.757,69
Jornada a tiempo completo	02 Aragón	6	2017	1.709,9
Jornada a tiempo completo	02 Aragón	6	2016	1.700,95
Jornada a tiempo completo	02 Aragón	6	2015	1.698,47
Jornada a tiempo completo	02 Aragón	6	2014	1.725,21
Jornada a tiempo completo	02 Aragón	6	2013	1.705,42
Jornada a tiempo completo	02 Aragón	6	2012	1.693,98
Jornada a tiempo completo	02 Aragón	6	2011	1.683,13
Jornada a tiempo completo	02 Aragón	6	2010	1.671,02
Jornada a tiempo completo	02 Aragón	6	2009	1.625,36
Jornada a tiempo completo	02 Aragón	6	2008	1.581,21
Jornada a tiempo completo	02 Aragón	6	2007	1.492,57
Jornada a tiempo completo	02 Aragón	6	2006	1.419,27
Jornada a tiempo completo	02 Aragón	7	2022	2.202,73
Jornada a tiempo completo	02 Aragón	7	2021	2.159,33
Jornada a tiempo completo	02 Aragón	7	2020	2.107,63
Jornada a tiempo completo	02 Aragón	7	2019	2.049,89
Jornada a tiempo completo	02 Aragón	7	2018	2.011,04
Jornada a tiempo completo	02 Aragón	7	2017	1.956,11
Jornada a tiempo completo	02 Aragón	7	2016	1.978,49
Jornada a tiempo completo	02 Aragón	7	2015	1.974,57
Jornada a tiempo completo	02 Aragón	7	2014	1.992,95
Jornada a tiempo completo	02 Aragón	7	2013	1.978,84
Jornada a tiempo completo	02 Aragón	7	2012	1.927,86
Jornada a tiempo completo	02 Aragón	7	2011	1.920,8
Jornada a tiempo completo	02 Aragón	7	2010	1.904,61
Jornada a tiempo completo	02 Aragón	7	2009	1.858,67
Jornada a tiempo completo	02 Aragón	7	2008	1.798,42
Jornada a tiempo completo	02 Aragón	7	2007	1.701,65
Jornada a tiempo completo	02 Aragón	7	2006	1.625,03
Jornada a tiempo completo	02 Aragón	8	2022	2.604,76
Jornada a tiempo completo	02 Aragón	8	2021	2.559,91
Jornada a tiempo completo	02 Aragón	8	2020	2.529,93
Jornada a tiempo completo	02 Aragón	8	2019	2.467,57
Jornada a tiempo completo	02 Aragón	8	2018	2.414,29
Jornada a tiempo completo	02 Aragón	8	2017	2.380,14
Jornada a tiempo completo	02 Aragón	8	2016	2.354,24
Jornada a tiempo completo	02 Aragón	8	2015	2.354,52
Jornada a tiempo completo	02 Aragón	8	2014	2.396,24
Jornada a tiempo completo	02 Aragón	8	2013	2.365,28
Jornada a tiempo completo	02 Aragón	8	2012	2.300,99
Jornada a tiempo completo	02 Aragón	8	2011	2.293,77
Jornada a tiempo completo	02 Aragón	8	2010	2.283,7
Jornada a tiempo completo	02 Aragón	8	2009	2.220,67
Jornada a tiempo completo	02 Aragón	8	2008	2.128,05
Jornada a tiempo completo	02 Aragón	8	2007	2.051,67
Jornada a tiempo completo	02 Aragón	8	2006	1.969,96
Jornada a tiempo completo	02 Aragón	9	2022	3.170,6
Jornada a tiempo completo	02 Aragón	9	2021	3.171,39
Jornada a tiempo completo	02 Aragón	9	2020	3.138,61
Jornada a tiempo completo	02 Aragón	9	2019	2.997,01
Jornada a tiempo completo	02 Aragón	9	2018	2.983,88
Jornada a tiempo completo	02 Aragón	9	2017	2.951,52
Jornada a tiempo completo	02 Aragón	9	2016	2.896,26
Jornada a tiempo completo	02 Aragón	9	2015	2.964,68
Jornada a tiempo completo	02 Aragón	9	2014	2.935,16
Jornada a tiempo completo	02 Aragón	9	2013	2.910,23
Jornada a tiempo completo	02 Aragón	9	2012	2.865,8
Jornada a tiempo completo	02 Aragón	9	2011	2.852,99
Jornada a tiempo completo	02 Aragón	9	2010	2.843,01
Jornada a tiempo completo	02 Aragón	9	2009	2.810,21
Jornada a tiempo completo	02 Aragón	9	2008	2.644,47
Jornada a tiempo completo	02 Aragón	9	2007	2.566,41
Jornada a tiempo completo	02 Aragón	9	2006	2.432,48
Jornada a tiempo completo	02 Aragón	10	2022	4.933,23
Jornada a tiempo completo	02 Aragón	10	2021	5.139,82
Jornada a tiempo completo	02 Aragón	10	2020	5.054,77
Jornada a tiempo completo	02 Aragón	10	2019	4.483,23
Jornada a tiempo completo	02 Aragón	10	2018	4.736,25
Jornada a tiempo completo	02 Aragón	10	2017	4.640,09
Jornada a tiempo completo	02 Aragón	10	2016	4.480,04
Jornada a tiempo completo	02 Aragón	10	2015	4.613,84
Jornada a tiempo completo	02 Aragón	10	2014	4.579,36
Jornada a tiempo completo	02 Aragón	10	2013	4.492,6
Jornada a tiempo completo	02 Aragón	10	2012	4.415,53
Jornada a tiempo completo	02 Aragón	10	2011	4.512,25
Jornada a tiempo completo	02 Aragón	10	2010	4.466,43
Jornada a tiempo completo	02 Aragón	10	2009	4.359,95
Jornada a tiempo completo	02 Aragón	10	2008	4.355,36
Jornada a tiempo completo	02 Aragón	10	2007	3.667,06
Jornada a tiempo completo	02 Aragón	10	2006	3.545,07
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2022	2.320,13
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2021	2.328,49
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2020	2.375,51
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2019	2.341,76
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2018	2.236,74
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2017	2.227,5
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2016	2.187,77
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2015	2.178,79
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2014	2.121,54
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2013	2.243,45
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2012	2.087,09
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2011	2.124,96
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2010	2.078,8
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2009	1.993,37
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2008	1.898,29
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2007	1.845,47
Jornada a tiempo completo	03 Asturias, Principado de	Total decil	2006	1.733,42
Jornada a tiempo completo	03 Asturias, Principado de	1	2022	869,41
Jornada a tiempo completo	03 Asturias, Principado de	1	2021	828,31
Jornada a tiempo completo	03 Asturias, Principado de	1	2020	727,89
Jornada a tiempo completo	03 Asturias, Principado de	1	2019	713,1
Jornada a tiempo completo	03 Asturias, Principado de	1	2018	655,16
Jornada a tiempo completo	03 Asturias, Principado de	1	2017	627,44
Jornada a tiempo completo	03 Asturias, Principado de	1	2016	651,14
Jornada a tiempo completo	03 Asturias, Principado de	1	2015	616,53
Jornada a tiempo completo	03 Asturias, Principado de	1	2014	587,87
Jornada a tiempo completo	03 Asturias, Principado de	1	2013	536,6
Jornada a tiempo completo	03 Asturias, Principado de	1	2012	570,77
Jornada a tiempo completo	03 Asturias, Principado de	1	2011	659,93
Jornada a tiempo completo	03 Asturias, Principado de	1	2010	635,15
Jornada a tiempo completo	03 Asturias, Principado de	1	2009	627,89
Jornada a tiempo completo	03 Asturias, Principado de	1	2008	654,57
Jornada a tiempo completo	03 Asturias, Principado de	1	2007	609,45
Jornada a tiempo completo	03 Asturias, Principado de	1	2006	613,4
Jornada a tiempo completo	03 Asturias, Principado de	2	2022	1.160,25
Jornada a tiempo completo	03 Asturias, Principado de	2	2021	1.062,92
Jornada a tiempo completo	03 Asturias, Principado de	2	2020	1.033,53
Jornada a tiempo completo	03 Asturias, Principado de	2	2019	1.017,54
Jornada a tiempo completo	03 Asturias, Principado de	2	2018	922,95
Jornada a tiempo completo	03 Asturias, Principado de	2	2017	842,43
Jornada a tiempo completo	03 Asturias, Principado de	2	2016	853,15
Jornada a tiempo completo	03 Asturias, Principado de	2	2015	856,19
Jornada a tiempo completo	03 Asturias, Principado de	2	2014	826,48
Jornada a tiempo completo	03 Asturias, Principado de	2	2013	821,65
Jornada a tiempo completo	03 Asturias, Principado de	2	2012	870,98
Jornada a tiempo completo	03 Asturias, Principado de	2	2011	889,89
Jornada a tiempo completo	03 Asturias, Principado de	2	2010	937,08
Jornada a tiempo completo	03 Asturias, Principado de	2	2009	905,94
Jornada a tiempo completo	03 Asturias, Principado de	2	2008	906,81
Jornada a tiempo completo	03 Asturias, Principado de	2	2007	870,33
Jornada a tiempo completo	03 Asturias, Principado de	2	2006	807,29
Jornada a tiempo completo	03 Asturias, Principado de	3	2022	1.349,24
Jornada a tiempo completo	03 Asturias, Principado de	3	2021	1.257,17
Jornada a tiempo completo	03 Asturias, Principado de	3	2020	1.243,45
Jornada a tiempo completo	03 Asturias, Principado de	3	2019	1.232,63
Jornada a tiempo completo	03 Asturias, Principado de	3	2018	1.150,02
Jornada a tiempo completo	03 Asturias, Principado de	3	2017	1.120,18
Jornada a tiempo completo	03 Asturias, Principado de	3	2016	1.130,69
Jornada a tiempo completo	03 Asturias, Principado de	3	2015	1.091,07
Jornada a tiempo completo	03 Asturias, Principado de	3	2014	1.089,19
Jornada a tiempo completo	03 Asturias, Principado de	3	2013	1.106,65
Jornada a tiempo completo	03 Asturias, Principado de	3	2012	1.127,58
Jornada a tiempo completo	03 Asturias, Principado de	3	2011	1.126,39
Jornada a tiempo completo	03 Asturias, Principado de	3	2010	1.146,95
Jornada a tiempo completo	03 Asturias, Principado de	3	2009	1.120,17
Jornada a tiempo completo	03 Asturias, Principado de	3	2008	1.116,95
Jornada a tiempo completo	03 Asturias, Principado de	3	2007	1.062,39
Jornada a tiempo completo	03 Asturias, Principado de	3	2006	1.013,6
Jornada a tiempo completo	03 Asturias, Principado de	4	2022	1.531,91
Jornada a tiempo completo	03 Asturias, Principado de	4	2021	1.461,31
Jornada a tiempo completo	03 Asturias, Principado de	4	2020	1.430,42
Jornada a tiempo completo	03 Asturias, Principado de	4	2019	1.410,73
Jornada a tiempo completo	03 Asturias, Principado de	4	2018	1.349,26
Jornada a tiempo completo	03 Asturias, Principado de	4	2017	1.315,76
Jornada a tiempo completo	03 Asturias, Principado de	4	2016	1.321,32
Jornada a tiempo completo	03 Asturias, Principado de	4	2015	1.303,63
Jornada a tiempo completo	03 Asturias, Principado de	4	2014	1.313,64
Jornada a tiempo completo	03 Asturias, Principado de	4	2013	1.317,16
Jornada a tiempo completo	03 Asturias, Principado de	4	2012	1.334,19
Jornada a tiempo completo	03 Asturias, Principado de	4	2011	1.321,81
Jornada a tiempo completo	03 Asturias, Principado de	4	2010	1.314,58
Jornada a tiempo completo	03 Asturias, Principado de	4	2009	1.285,1
Jornada a tiempo completo	03 Asturias, Principado de	4	2008	1.260,52
Jornada a tiempo completo	03 Asturias, Principado de	4	2007	1.192,59
Jornada a tiempo completo	03 Asturias, Principado de	4	2006	1.138,58
Jornada a tiempo completo	03 Asturias, Principado de	5	2022	1.715,13
Jornada a tiempo completo	03 Asturias, Principado de	5	2021	1.676,46
Jornada a tiempo completo	03 Asturias, Principado de	5	2020	1.615,51
Jornada a tiempo completo	03 Asturias, Principado de	5	2019	1.587,75
Jornada a tiempo completo	03 Asturias, Principado de	5	2018	1.551,67
Jornada a tiempo completo	03 Asturias, Principado de	5	2017	1.504,34
Jornada a tiempo completo	03 Asturias, Principado de	5	2016	1.504,02
Jornada a tiempo completo	03 Asturias, Principado de	5	2015	1.494,93
Jornada a tiempo completo	03 Asturias, Principado de	5	2014	1.507,08
Jornada a tiempo completo	03 Asturias, Principado de	5	2013	1.505,85
Jornada a tiempo completo	03 Asturias, Principado de	5	2012	1.506,95
Jornada a tiempo completo	03 Asturias, Principado de	5	2011	1.483,93
Jornada a tiempo completo	03 Asturias, Principado de	5	2010	1.478,33
Jornada a tiempo completo	03 Asturias, Principado de	5	2009	1.452,78
Jornada a tiempo completo	03 Asturias, Principado de	5	2008	1.415,13
Jornada a tiempo completo	03 Asturias, Principado de	5	2007	1.343,46
Jornada a tiempo completo	03 Asturias, Principado de	5	2006	1.268,31
Jornada a tiempo completo	03 Asturias, Principado de	6	2022	1.932,35
Jornada a tiempo completo	03 Asturias, Principado de	6	2021	1.873,5
Jornada a tiempo completo	03 Asturias, Principado de	6	2020	1.828,37
Jornada a tiempo completo	03 Asturias, Principado de	6	2019	1.793,3
Jornada a tiempo completo	03 Asturias, Principado de	6	2018	1.740,75
Jornada a tiempo completo	03 Asturias, Principado de	6	2017	1.700,64
Jornada a tiempo completo	03 Asturias, Principado de	6	2016	1.699,81
Jornada a tiempo completo	03 Asturias, Principado de	6	2015	1.716,95
Jornada a tiempo completo	03 Asturias, Principado de	6	2014	1.721,3
Jornada a tiempo completo	03 Asturias, Principado de	6	2013	1.728,65
Jornada a tiempo completo	03 Asturias, Principado de	6	2012	1.673,33
Jornada a tiempo completo	03 Asturias, Principado de	6	2011	1.675,6
Jornada a tiempo completo	03 Asturias, Principado de	6	2010	1.669,53
Jornada a tiempo completo	03 Asturias, Principado de	6	2009	1.631,11
Jornada a tiempo completo	03 Asturias, Principado de	6	2008	1.581,13
Jornada a tiempo completo	03 Asturias, Principado de	6	2007	1.481,66
Jornada a tiempo completo	03 Asturias, Principado de	6	2006	1.423,83
Jornada a tiempo completo	03 Asturias, Principado de	7	2022	2.209,98
Jornada a tiempo completo	03 Asturias, Principado de	7	2021	2.156
Jornada a tiempo completo	03 Asturias, Principado de	7	2020	2.099,88
Jornada a tiempo completo	03 Asturias, Principado de	7	2019	2.067,6
Jornada a tiempo completo	03 Asturias, Principado de	7	2018	2.021,34
Jornada a tiempo completo	03 Asturias, Principado de	7	2017	1.972,88
Jornada a tiempo completo	03 Asturias, Principado de	7	2016	1.978,73
Jornada a tiempo completo	03 Asturias, Principado de	7	2015	1.962,79
Jornada a tiempo completo	03 Asturias, Principado de	7	2014	2.008,58
Jornada a tiempo completo	03 Asturias, Principado de	7	2013	1.957,91
Jornada a tiempo completo	03 Asturias, Principado de	7	2012	1.946,85
Jornada a tiempo completo	03 Asturias, Principado de	7	2011	1.934,4
Jornada a tiempo completo	03 Asturias, Principado de	7	2010	1.925,45
Jornada a tiempo completo	03 Asturias, Principado de	7	2009	1.861,77
Jornada a tiempo completo	03 Asturias, Principado de	7	2008	1.798,98
Jornada a tiempo completo	03 Asturias, Principado de	7	2007	1.701,45
Jornada a tiempo completo	03 Asturias, Principado de	7	2006	1.634,88
Jornada a tiempo completo	03 Asturias, Principado de	8	2022	2.608,97
Jornada a tiempo completo	03 Asturias, Principado de	8	2021	2.559,89
Jornada a tiempo completo	03 Asturias, Principado de	8	2020	2.542,05
Jornada a tiempo completo	03 Asturias, Principado de	8	2019	2.451,26
Jornada a tiempo completo	03 Asturias, Principado de	8	2018	2.430,91
Jornada a tiempo completo	03 Asturias, Principado de	8	2017	2.371,01
Jornada a tiempo completo	03 Asturias, Principado de	8	2016	2.353,77
Jornada a tiempo completo	03 Asturias, Principado de	8	2015	2.358,37
Jornada a tiempo completo	03 Asturias, Principado de	8	2014	2.375,82
Jornada a tiempo completo	03 Asturias, Principado de	8	2013	2.367,68
Jornada a tiempo completo	03 Asturias, Principado de	8	2012	2.298,1
Jornada a tiempo completo	03 Asturias, Principado de	8	2011	2.278,57
Jornada a tiempo completo	03 Asturias, Principado de	8	2010	2.289,36
Jornada a tiempo completo	03 Asturias, Principado de	8	2009	2.209,18
Jornada a tiempo completo	03 Asturias, Principado de	8	2008	2.132,45
Jornada a tiempo completo	03 Asturias, Principado de	8	2007	2.018,64
Jornada a tiempo completo	03 Asturias, Principado de	8	2006	1.950,77
Jornada a tiempo completo	03 Asturias, Principado de	9	2022	3.165,07
Jornada a tiempo completo	03 Asturias, Principado de	9	2021	3.188,22
Jornada a tiempo completo	03 Asturias, Principado de	9	2020	3.140,01
Jornada a tiempo completo	03 Asturias, Principado de	9	2019	3.038,2
Jornada a tiempo completo	03 Asturias, Principado de	9	2018	2.996,27
Jornada a tiempo completo	03 Asturias, Principado de	9	2017	2.946,58
Jornada a tiempo completo	03 Asturias, Principado de	9	2016	2.919,28
Jornada a tiempo completo	03 Asturias, Principado de	9	2015	2.932,06
Jornada a tiempo completo	03 Asturias, Principado de	9	2014	2.940,82
Jornada a tiempo completo	03 Asturias, Principado de	9	2013	2.952,91
Jornada a tiempo completo	03 Asturias, Principado de	9	2012	2.863,67
Jornada a tiempo completo	03 Asturias, Principado de	9	2011	2.867,34
Jornada a tiempo completo	03 Asturias, Principado de	9	2010	2.807,88
Jornada a tiempo completo	03 Asturias, Principado de	9	2009	2.807,46
Jornada a tiempo completo	03 Asturias, Principado de	9	2008	2.679,74
Jornada a tiempo completo	03 Asturias, Principado de	9	2007	2.595,17
Jornada a tiempo completo	03 Asturias, Principado de	9	2006	2.474,99
Jornada a tiempo completo	03 Asturias, Principado de	10	2022	5.182,18
Jornada a tiempo completo	03 Asturias, Principado de	10	2021	4.769,24
Jornada a tiempo completo	03 Asturias, Principado de	10	2020	4.946,76
Jornada a tiempo completo	03 Asturias, Principado de	10	2019	4.497,33
Jornada a tiempo completo	03 Asturias, Principado de	10	2018	4.679,37
Jornada a tiempo completo	03 Asturias, Principado de	10	2017	4.681,74
Jornada a tiempo completo	03 Asturias, Principado de	10	2016	4.488,13
Jornada a tiempo completo	03 Asturias, Principado de	10	2015	4.348,78
Jornada a tiempo completo	03 Asturias, Principado de	10	2014	4.474,02
Jornada a tiempo completo	03 Asturias, Principado de	10	2013	4.388,6
Jornada a tiempo completo	03 Asturias, Principado de	10	2012	4.237,12
Jornada a tiempo completo	03 Asturias, Principado de	10	2011	4.385,81
Jornada a tiempo completo	03 Asturias, Principado de	10	2010	4.407,98
Jornada a tiempo completo	03 Asturias, Principado de	10	2009	4.195,4
Jornada a tiempo completo	03 Asturias, Principado de	10	2008	4.132,25
Jornada a tiempo completo	03 Asturias, Principado de	10	2007	3.588,22
Jornada a tiempo completo	03 Asturias, Principado de	10	2006	3.550,83
Jornada a tiempo completo	04 Balears, Illes	Total decil	2022	2.427,32
Jornada a tiempo completo	04 Balears, Illes	Total decil	2021	2.272,69
Jornada a tiempo completo	04 Balears, Illes	Total decil	2020	2.000,26
Jornada a tiempo completo	04 Balears, Illes	Total decil	2019	2.124,98
Jornada a tiempo completo	04 Balears, Illes	Total decil	2018	2.043,25
Jornada a tiempo completo	04 Balears, Illes	Total decil	2017	1.925,53
Jornada a tiempo completo	04 Balears, Illes	Total decil	2016	1.946,87
Jornada a tiempo completo	04 Balears, Illes	Total decil	2015	1.936,19
Jornada a tiempo completo	04 Balears, Illes	Total decil	2014	1.880,65
Jornada a tiempo completo	04 Balears, Illes	Total decil	2013	1.968,35
Jornada a tiempo completo	04 Balears, Illes	Total decil	2012	1.872,65
Jornada a tiempo completo	04 Balears, Illes	Total decil	2011	1.901,08
Jornada a tiempo completo	04 Balears, Illes	Total decil	2010	1.885,72
Jornada a tiempo completo	04 Balears, Illes	Total decil	2009	1.860,82
Jornada a tiempo completo	04 Balears, Illes	Total decil	2008	1.718,86
Jornada a tiempo completo	04 Balears, Illes	Total decil	2007	1.726,97
Jornada a tiempo completo	04 Balears, Illes	Total decil	2006	1.553,58
Jornada a tiempo completo	04 Balears, Illes	1	2022	937,48
